target_id	length	eff_length	est_counts	tpm
NM_001178148.1	3483	3433	0	0
NM_001178149.1	3825	3775	0	0
NM_001178150.1	621	571	14	2207.37
NM_001178151.1	1929	1879	8.1328	389.669
NM_001178152.1	648	598	2	301.101
NM_001178153.1	597	547	0	0
NM_001178154.1	780	730	0	0
NM_001178155.2	1482	1432	0	0
NM_001178156.1	1878	1828	1	49.2501
NM_001178157.1	1185	1135	8	634.567
NM_001178158.2	1218	1168	0	0
NM_001178159.1	768	718	0	0
NM_001178160.1	1200	1150	0	0
NM_001178161.1	1908	1858	1	48.4549
NM_001178162.2	4071	4021	2	44.7795
NM_001178163.1	978	928	0	0
NM_001178164.1	3396	3346	1	26.9065
NM_001178165.2	1002	952	0	0
NM_001178166.1	2514	2464	0	0
NM_001178167.1	1554	1504	0	0
NM_001178168.1	2280	2230	2	80.7436
NM_001178169.1	4308	4258	0	0
NM_001178170.2	921	871	1	103.363
NM_001178171.2	4068	4018	0	0
NM_001178172.1	786	736	0	0
NM_001178173.1	1587	1537	0	0
NM_001178174.1	4416	4366	0	0
NM_001178175.1	354	304	0	0
NM_001178176.1	2283	2233	0	0
NM_001178177.1	1140	1090	0	0
NM_001178178.1	522	472	0	0
NM_001178179.1	870	820	0	0
NM_001178180.1	3009	2959	7	212.979
NM_001178181.1	1110	1060	2	169.866
NM_001178182.1	804	754	0	0
NM_001178183.1	1503	1453	105	6505.89
NM_001178184.1	810	760	0	0
NM_001178185.1	1743	1693	1	53.1773
NM_001178186.1	2565	2515	1	35.7969
NM_001178187.1	1248	1198	1	75.1495
NM_001178188.1	2358	2308	1	39.0074
NM_001178189.1	513	463	1	194.447
NM_001178191.1	357	307	0	0
NM_001178192.2	1869	1819	0	0
NM_001178193.1	1989	1939	0	0
NM_001178194.1	741	691	0	0
NM_001178195.2	3144	3094	1	29.098
NM_001178196.2	2352	2302	0	0
NM_001178197.1	2142	2092	0	0
NM_001178198.1	543	493	0	0
NM_001178199.2	2643	2593	0	0
NM_001178200.1	1509	1459	0	0
NM_001178201.2	639	589	0	0
NM_001178202.2	1149	1099	2	163.838
NM_001178203.1	1254	1204	1	74.775
NM_001178204.1	1374	1324	1	67.9978
NM_001178205.1	3969	3919	0	0
NM_001178206.2	285	235	0	0
NM_001178208.1	1782	1732	0	0
NM_001178209.1	1620	1570	2	114.687
NM_001178210.1	1281	1231	1	73.1349
NM_001178211.1	1866	1816	1	49.5755
NM_001178212.1	828	778	0	0
NM_001178213.1	3591	3541	16.4696	418.735
NM_001178214.1	1323	1273	0.000244419	0.0172858
NM_001178215.2	2130	2080	0	0
NM_001178216.1	921	871	6	620.178
NM_001178217.1	1308	1258	0	0
NM_001178218.2	2925	2875	0	0
NM_001178219.1	168	118	0	0
NM_001178220.2	540	490	0	0
NM_001178221.1	708	658	1	136.822
NM_001178222.1	705	655	1	137.449
NM_001178223.1	225	175	0	0
NM_001178224.1	897	847	0	0
NM_001178225.1	705	655	1	137.449
NM_001178226.1	2064	2014	0	0
NM_001178227.1	3567	3517	3	76.7948
NM_001178230.1	4614	4564	0	0
NM_001178235.1	300	250	0	0
NM_001178236.1	486	436	0	0
NM_001178239.1	1404	1354	0	0
NM_001178241.1	315	265	1	339.733
NM_001178242.1	396	346	1	260.2
NM_001178243.1	399	349	2	515.926
NM_001178244.1	7482	7432	1	12.1137
NM_001178245.1	2931	2881	1	31.2493
NM_001178246.1	543	493	0	0
NM_001178247.1	3735	3685	5	122.156
NM_001178248.2	2523	2473	2	72.8096
NM_001178249.1	2031	1981	1	45.4463
NM_001178250.1	843	793	0	0
NM_001178251.1	2280	2230	1	40.3718
NM_001178253.1	1206	1156	0	0
NM_001178254.2	2685	2635	0	0
NM_001178255.1	1581	1531	0	0
NM_001178256.1	1062	1012	0	0
NM_001178257.1	4740	4690	4	76.7839
NM_001178258.1	402	352	0	0
NM_001178259.1	1563	1513	0	0
NM_001178260.1	1725	1675	0	0
NM_001178261.1	435	385	0	0
NM_001178262.1	3402	3352	1	26.8583
NM_001178263.1	2607	2557	0	0
NM_001178264.1	2055	2005	2	89.8046
NM_001178265.1	438	388	0	0
NM_001178266.1	288	238	0	0
NM_001178267.1	570	520	21.9688	3803.51
NM_001178268.1	321	271	0	0
NM_001178269.1	1131	1081	1	83.2832
NM_001178270.1	957	907	3	297.781
NM_001178271.1	1017	967	0	0
NM_001178272.1	1146	1096	2	164.287
NM_001178273.1	1038	988	0	0
NM_001178274.1	4542	4492	0	0
NM_001178275.1	2118	2068	0	0
NM_001178276.1	774	724	1	124.35
NM_001178277.1	3078	3028	1	29.7322
NM_001178278.1	699	649	0	0
NM_001178279.1	1740	1690	6	319.63
NM_001178280.1	660	610	1	147.589
NM_001178281.1	726	676	0	0
NM_001178282.1	1920	1870	1	48.1439
NM_001178283.1	774	724	0	0
NM_001178284.1	369	319	0	0
NM_001178285.1	1374	1324	2	135.996
NM_001178286.1	1326	1276	0	0
NM_001178287.1	4146	4096	2	43.9595
NM_001178289.1	417	367	0	0
NM_001178290.1	879	829	0	0
NM_001178291.1	2007	1957	0	0
NM_001178292.1	2496	2446	0	0
NM_001178294.1	1578	1528	2	117.839
NM_001178295.1	1257	1207	0	0
NM_001178296.2	1407	1357	1	66.3442
NM_001178297.2	627	577	0	0
NM_001178298.1	1272	1222	0	0
NM_001178299.1	582	532	0	0
NM_001178300.1	2064	2014	2	89.4033
NM_001178301.1	2091	2041	0	0
NM_001178303.1	3336	3286	0	0
NM_001178304.1	786	736	1	122.322
NM_001178306.1	3447	3397	0	0
NM_001178307.2	2244	2194	0	0
NM_001178308.2	981	931	0	0
NM_001178309.1	1290	1240	0	0
NM_001178312.1	603	553	26.25	4273.53
