target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	856	0	0
YDL245C_mRNA	1704	1654	0	0
YBR232C_mRNA	360	310	0	0
YDR320W-B_mRNA	138	88	0	0
YBR021W_mRNA	1902	1852	0	0
YGR014W_mRNA	3921	3871	0	0
YKL119C_mRNA	648	598	1	148.282
YPR031W_mRNA	2247	2197	0	0
YKL066W_mRNA	444	394	0	0
YJL076W_mRNA	3570	3520	2	50.3821
YPL174C_mRNA	2607	2557	0	0
YIL003W_mRNA	882	832	1	106.578
YML066C_mRNA	1110	1060	0	0
YMR129W_mRNA	4014	3964	2	44.7389
YBR140C_mRNA	9279	9229	5	48.0401
YGR242W_mRNA	309	259	0	0
YKR047W_mRNA	306	256	0	0
YKL029C_mRNA	2010	1960	3.19212	144.415
YLR154C-G_mRNA	150	100	5	4433.62
YPL028W_mRNA	1197	1147	3	231.925
YDL235C_mRNA	504	454	2	390.628
YER091C_mRNA	2304	2254	3	118.02
YMR121C_mRNA	615	565	0	0
YDR356W_mRNA	2835	2785	0	0
YDR337W_mRNA	861	811	0	0
YKL008C_mRNA	1257	1207	2	146.93
YER055C_mRNA	894	844	7	735.435
YFR004W_mRNA	921	871	0	0
YDR108W_mRNA	2097	2047	0	0
YDL200C_mRNA	567	517	0	0
YJR134C_mRNA	2124	2074	1	42.7543
YMR135C_mRNA	1368	1318	1	67.2781
YGR012W_mRNA	1182	1132	0	0
YNL244C_mRNA	327	277	0	0
YCR024C-A_mRNA	123	73	0	0
YOR027W_mRNA	1770	1720	1	51.5538
YBL101C_mRNA	3354	3304	0	0
YLL040C_mRNA	9435	9385	4	37.7933
YDR181C_mRNA	1446	1396	0	0
YML116W-A_mRNA	303	253	0	0
YPR096C_mRNA	303	253	0	0
YJL210W_mRNA	816	766	1	115.76
YLR216C_mRNA	1116	1066	1	83.1824
YGL118C_mRNA	438	388	0	0
YMR021C_mRNA	1254	1204	0	0
YNL079C_mRNA	600	550	6	967.336
YBL058W_mRNA	1272	1222	1	72.5634
YJR127C_mRNA	4143	4093	0	0
YLR088W_mRNA	1845	1795	1	49.3997
YKL128C_mRNA	888	838	0	0
YLR100W_mRNA	1044	994	4	356.831
YKL106C-A_mRNA	120	70	0	0
YBR080C_mRNA	2277	2227	1	39.817
YOR292C_mRNA	930	880	0	0
YNL219C_mRNA	1668	1618	0	0
YPR179C_mRNA	1968	1918	1	46.2317
YOL062C_mRNA	1476	1426	1	62.1827
YDR540C_mRNA	540	490	0	0
YER087W_mRNA	1731	1681	0	0
YOL140W_mRNA	1272	1222	0	0
YFL009W_mRNA	2340	2290	0	0
YLL004W_mRNA	1851	1801	0	0
YKL057C_mRNA	3114	3064	1	28.9401
YPL130W_mRNA	672	622	0	0
YDL046W_mRNA	522	472	0	0
YPL072W_mRNA	1500	1450	1	61.1534
YPR150W_mRNA	522	472	0	0
YER180C_mRNA	804	754	0	0
YGL157W_mRNA	1044	994	0	0
YDR252W_mRNA	450	400	0	0
YLR037C_mRNA	375	325	0	0
YMR307W_mRNA	1680	1630	5.48822	298.561
YIL116W_mRNA	1158	1108	1	80.0293
YAL040C_mRNA	1743	1693	1	52.3759
YGL232W_mRNA	870	820	0	0
YHR181W_mRNA	687	637	1	139.203
YBR051W_mRNA	351	301	0	0
YPL259C_mRNA	1428	1378	0	0
YDR461C-A_mRNA	243	193	0	0
YJL087C_mRNA	2484	2434	0	0
YIR005W_mRNA	447	397	0	0
YDL080C_mRNA	1830	1780	0	0
YJL209W_mRNA	1965	1915	0	0
YLR286C_mRNA	1689	1639	4	216.406
YEL044W_mRNA	501	451	0	0
YOR371C_mRNA	2694	2644	0	0
YLR071C_mRNA	3249	3199	1	27.7188
YBL050W_mRNA	879	829	1	106.963
YOR025W_mRNA	1344	1294	2	137.052
YHL001W_mRNA	417	367	2.5	604.036
YJR042W_mRNA	2235	2185	2	81.1647
YNL185C_mRNA	477	427	0	0
YBR129C_mRNA	987	937	0	0
YKL145W_mRNA	1404	1354	2	130.979
YIL015W_mRNA	1764	1714	2	103.468
YPL018W_mRNA	1110	1060	0	0
YLR160C_mRNA	1089	1039	0.5	42.672
YIL047C_mRNA	2709	2659	0	0
YBL039C-A_mRNA	84	34.0145	0	0
YOR061W_mRNA	1020	970	2	182.83
YJR005C-A_mRNA	282	232	0	0
YLR352W_mRNA	2424	2374	0	0
YDR068W_mRNA	933	883	0	0
YJL128C_mRNA	2007	1957	2	90.6208
YPL228W_mRNA	1650	1600	0	0
YML036W_mRNA	546	496	0	0
YKL114C_mRNA	1104	1054	0	0
YDR078C_mRNA	672	622	0	0
YCR105W_mRNA	1086	1036	0	0
YJR083C_mRNA	930	880	0	0
YDR248C_mRNA	582	532	1	166.678
YPL199C_mRNA	723	673	3	395.271
YNL136W_mRNA	1278	1228	0	0
YLL045C_mRNA	771	721	9.50841	1169.4
YOR316C-A_mRNA	210	160	0	0
YNL264C_mRNA	1053	1003	0	0
YLR320W_mRNA	4365	4315	0	0
YBR028C_mRNA	1578	1528	1	58.0317
YKL098W_mRNA	1074	1024	0	0
YBR063C_mRNA	1215	1165	0	0
YJL052C-A_mRNA	120	70	0	0
YPR060C_mRNA	771	721	0	0
YLL013C_mRNA	2640	2590	1	34.2365
YKR067W_mRNA	2232	2182	1	40.6382
YLR040C_mRNA	675	625	0	0
YMR093W_mRNA	1542	1492	0	0
YIL058W_mRNA	285	235	0	0
YHR136C_mRNA	447	397	0	0
YBR078W_mRNA	1290	1240	8	572.081
YCL054W_mRNA	2526	2476	4	143.251
YIL072W_mRNA	1818	1768	0	0
YOR231C-A_mRNA	201	151	0	0
YCR016W_mRNA	873	823	1	107.743
YEL020C_mRNA	1683	1633	0	0
YPL025C_mRNA	558	508	0	0
YDL136W_mRNA	363	313	8.5	2408.04
YBR211C_mRNA	975	925	0	0
YJL077W-A_mRNA	87	37.0051	0	0
YOR076C_mRNA	2244	2194	0	0
YDR104C_mRNA	3738	3688	1	24.0435
YBR279W_mRNA	1338	1288	4	275.38
YLR067C_mRNA	2898	2848	0	0
YHR219W_mRNA	1875	1825	1.33976	65.0959
YGR249W_mRNA	1371	1321	0	0
YLR456W_mRNA	615	565	0	0
YGR283C_mRNA	1026	976	0	0
YDL027C_mRNA	1263	1213	1	73.1018
YKR023W_mRNA	1593	1543	0	0
YGR028W_mRNA	1089	1039	1	85.3441
YCL001W-A_mRNA	462	412	0	0
YDR052C_mRNA	2115	2065	0	0
YFR035C_mRNA	345	295	0	0
YJL102W_mRNA	2460	2410	1	36.7936
YNL336W_mRNA	1146	1096	0	0
YGL006W_mRNA	3522	3472	0	0
YDR217C_mRNA	3930	3880	0	0
YMR194C-A_mRNA	225	175	0	0
YKL033W_mRNA	3117	3067	0	0
YOR223W_mRNA	879	829	0	0
YOR032W-A_mRNA	201	151	0	0
YBR260C_mRNA	2001	1951	0	0
YLR359W_mRNA	1449	1399	8	507.062
YHR062C_mRNA	882	832	1	106.578
YDR022C_mRNA	591	541	0	0
YDR459C_mRNA	1125	1075	0	0
YNL184C_mRNA	327	277	0	0
YDR293C_mRNA	3753	3703	3	71.8384
YPL195W_mRNA	2799	2749	1	32.2563
YMR173W_mRNA	1293	1243	0	0
YDR374W-A_mRNA	270	220	0	0
YAL007C_mRNA	648	598	1	148.282
YGL235W_mRNA	537	487	0	0
YGL134W_mRNA	1302	1252	0	0
YER001W_mRNA	2289	2239	1	39.6036
YDR366C_mRNA	399	349	4	1016.3
YHR023W_mRNA	5787	5737	3	46.3687
YDR430C_mRNA	2970	2920	0	0
YGR002C_mRNA	1431	1381	0	0
YNL220W_mRNA	1302	1252	2	141.649
YBR109W-A_mRNA	225	175	0	0
YHR110W_mRNA	639	589	0	0
YKL136W_mRNA	399	349	0	0
YLL067C_mRNA	3618	3568	1.30816e-07	3.25105e-06
YPL078C_mRNA	735	685	0	0
YBR073W_mRNA	2877	2827	2	62.7326
YPL119C_mRNA	1854	1804	0	0
YOR135C_mRNA	342	292	1	303.673
YPL212C_mRNA	1635	1585	1	55.9448
YGL179C_mRNA	1683	1633	0	0
YNL159C_mRNA	870	820	0	0
YFR048W_mRNA	1989	1939	0	0
YDR016C_mRNA	285	235	0	0
YKL215C_mRNA	3861	3811	0	0
YML035C_mRNA	2433	2383	1	37.2104
YDL059C_mRNA	717	667	0	0
YOR257W_mRNA	486	436	0	0
YNL144C_mRNA	2223	2173	0	0
YIL172C_mRNA	1770	1720	0	0
YOR301W_mRNA	1308	1258	0	0
YHR157W_mRNA	549	499	0	0
YPR152C_mRNA	1398	1348	0	0
YDR442W_mRNA	393	343	0	0
YPL008W_mRNA	2586	2536	0	0
YMR086C-A_mRNA	339	289	0	0
YGL032C_mRNA	264	214	0	0
YEL077C_mRNA	3834	3784	0	0
YGR174W-A_mRNA	87	37.0051	0	0
YOR148C_mRNA	558	508	0	0
YHL048W_mRNA	1146	1096	1	80.9055
YDR114C_mRNA	303	253	0	0
YDR194W-A_mRNA	153	103	0	0
YML062C_mRNA	1179	1129	2	157.081
YPR085C_mRNA	1332	1282	1	69.1673
YBL095W_mRNA	813	763	0	0
YAR028W_mRNA	705	655	0	0
YGR054W_mRNA	1929	1879	1	47.1913
YOR096W_mRNA	573	523	15	2543.19
YMR022W_mRNA	498	448	0	0
YCR027C_mRNA	630	580	1	152.884
YDL183C_mRNA	963	913	0	0
YJL225W-A_mRNA	483	433	0	0
YNL278W_mRNA	3183	3133	0	0
YLR395C_mRNA	237	187	1	474.184
YDR446W_mRNA	909	859	0	0
YKL023W_mRNA	834	784	0	0
YPL106C_mRNA	2082	2032	14	610.932
YOR366W_mRNA	354	304	0	0
YIR021W_mRNA	1092	1042	0	0
YJL175W_mRNA	513	463	0	0
YLL022C_mRNA	1158	1108	0	0
YDR441C_mRNA	546	496	0	0
YPR002C-A_mRNA	198	148	0	0
YOR299W_mRNA	2241	2191	2	80.9425
YLR047C_mRNA	2061	2011	1	44.0937
YMR082C_mRNA	357	307	0	0
YEL023C_mRNA	2049	1999	0	0
YDR411C_mRNA	1026	976	0	0
YKL025C_mRNA	2040	1990	2	89.1181
YLR225C_mRNA	1224	1174	1	75.5302
YPR029C_mRNA	2499	2449	3	108.623
YDR088C_mRNA	1149	1099	0	0
YFL004W_mRNA	2487	2437	0	0
YDR369C_mRNA	2565	2515	0	0
YGL090W_mRNA	1266	1216	0	0
YLR297W_mRNA	390	340	0	0
YDR094W_mRNA	336	286	0	0
YNL027W_mRNA	2037	1987	0	0
YAL064C-A_mRNA	381	331	0	0
YJL083W_mRNA	1815	1765	0	0
YKL171W_mRNA	2787	2737	0	0
YOR353C_mRNA	2376	2326	3	114.367
YJR132W_mRNA	3147	3097	3	85.8952
YLR255C_mRNA	354	304	0	0
YMR013W-A_mRNA	81	31.038	0	0
YNL144W-A_mRNA	84	34.0145	0	0
YPL060W_mRNA	1242	1192	1	74.3897
YNL333W_mRNA	897	847	0.5	52.345
YCL038C_mRNA	1587	1537	0	0
YBL035C_mRNA	2118	2068	0	0
YJL092W_mRNA	3525	3475	1	25.5173
YGL010W_mRNA	525	475	0	0
YML076C_mRNA	2835	2785	0	0
YDR379W_mRNA	3030	2980	0	0
YDL029W_mRNA	1176	1126	3	236.25
YDR205W_mRNA	2175	2125	0	0
YJL031C_mRNA	984	934	0	0
YLR016C_mRNA	615	565	0	0
YOL116W_mRNA	1149	1099	1	80.6847
YGR019W_mRNA	1416	1366	1	64.914
YKL096C-B_mRNA	150	100	0	0
YMR137C_mRNA	1986	1936	0	0
YLR034C_mRNA	1422	1372	0	0
YOL041C_mRNA	1380	1330	2	133.342
YDL198C_mRNA	903	853	0	0
YPR076W_mRNA	375	325	0	0
YHR118C_mRNA	1308	1258	0	0
YJL097W_mRNA	654	604	3	440.426
YDL120W_mRNA	525	475	0	0
YLR292C_mRNA	582	532	1	166.678
YPR170W-B_mRNA	258	208	1	426.31
YKR091W_mRNA	741	691	0	0
YPR016C_mRNA	738	688	0	0
YNL103W_mRNA	2019	1969	1	45.0343
YAL012W_mRNA	1185	1135	5	390.628
YJL148W_mRNA	702	652	1	136.001
YER039C-A_mRNA	219	169	0	0
YKL162C-A_mRNA	153	103	0	0
YDR421W_mRNA	2853	2803	0	0
YGL051W_mRNA	705	655	0.5	67.6889
YER058W_mRNA	324	274	0	0
YNL243W_mRNA	2907	2857	2	62.0738
YGL220W_mRNA	363	313	0	0
YDL186W_mRNA	834	784	0	0
YER110C_mRNA	3342	3292	3	80.8072
YLL027W_mRNA	753	703	0	0
YER135C_mRNA	393	343	0	0
YOL060C_mRNA	2121	2071	1	42.8163
YCL051W_mRNA	1752	1702	0	0
YBL049W_mRNA	417	367	0	0
YOL102C_mRNA	693	643	0	0
YGR065C_mRNA	1782	1732	0	0
YMR292W_mRNA	417	367	0	0
YBL021C_mRNA	435	385	0	0
YPR026W_mRNA	3636	3586	0	0
YLR421C_mRNA	471	421	1	210.623
YHR054W-A_mRNA	195	145	0	0
YPR154W_mRNA	648	598	0	0
YAL058W_mRNA	1509	1459	0	0
YDR119W-A_mRNA	201	151	0	0
YJR055W_mRNA	495	445	0	0
YMR273C_mRNA	2748	2698	0	0
YHL008C_mRNA	1884	1834	0	0
YNL212W_mRNA	2349	2299	2	77.14
YDR429C_mRNA	825	775	2	228.832
YCL027W_mRNA	1539	1489	0	0
YCR030C_mRNA	2613	2563	0	0
YGR048W_mRNA	1086	1036	0	0
YPL249C_mRNA	2685	2635	0	0
YLR165C_mRNA	765	715	1	124.017
YDR220C_mRNA	294	244	0	0
YDR263C_mRNA	1293	1243	0	0
YBR187W_mRNA	843	793	1	111.819
YOR244W_mRNA	1338	1288	0	0
YBR201C-A_mRNA	204	154	0	0
YBR074W_mRNA	2931	2881	1	30.7784
YDL195W_mRNA	3822	3772	8	188.065
YDR007W_mRNA	675	625	0	0
YOL014W_mRNA	375	325	0	0
YLR059C_mRNA	810	760	2	233.349
YML130C_mRNA	1692	1642	0	0
YBR223C_mRNA	1635	1585	1	55.9448
YCR018C-A_mRNA	255	205	1.62698	703.75
YER019W_mRNA	1434	1384	1	64.0697
YIR016W_mRNA	798	748	0	0
YIL069C_mRNA	408	358	0	0
YLR440C_mRNA	2130	2080	0	0
YIL102C_mRNA	306	256	0	0
YER042W_mRNA	555	505	0	0
YBL069W_mRNA	1290	1240	1	71.5101
YML116W_mRNA	1629	1579	1	56.1574
YHR058C_mRNA	888	838	0	0
YMR265C_mRNA	1386	1336	0	0
YDL169C_mRNA	672	622	0	0
YPL109C_mRNA	1974	1924	0	0
YPL204W_mRNA	1485	1435	0	0
YLR365W_mRNA	333	283	0	0
YOR047C_mRNA	1335	1285	1	69.0058
YLR222C_mRNA	2454	2404	1	36.8854
YPR183W_mRNA	804	754	0	0
YOR396C-A_mRNA	483	433	0	0
YER077C_mRNA	2067	2017	0	0
YDR348C_mRNA	1500	1450	1	61.1534
YKL030W_mRNA	606	556	3.80788	607.292
YGR295C_mRNA	1146	1096	0	0
YER039C_mRNA	750	700	0	0
YPL230W_mRNA	1176	1126	0	0
YFL007W_mRNA	6432	6382	3	41.6825
YLR371W_mRNA	4071	4021	0	0
YMR061W_mRNA	2034	1984	2	89.3876
YPL159C_mRNA	762	712	0	0
YMR288W_mRNA	2916	2866	0	0
YMR166C_mRNA	1107	1057	0	0
YHR142W_mRNA	951	901	0	0
YJR111C_mRNA	852	802	0	0
YPL152W_mRNA	1077	1027	0	0
YJR113C_mRNA	744	694	0	0
YDR230W_mRNA	348	298	0	0
YDR131C_mRNA	1671	1621	0	0
YEL020W-A_mRNA	264	214	0	0
YLR116W_mRNA	1431	1381	0	0
YIR040C_mRNA	333	283	0	0
YLR013W_mRNA	426	376	0	0
YBR125C_mRNA	1182	1132	0	0
YPL216W_mRNA	3309	3259	1	27.2085
YOR290C_mRNA	5112	5062	3	52.5518
YEL012W_mRNA	657	607	0	0
YLR179C_mRNA	606	556	0	0
YDR297W_mRNA	1050	1000	0	0
YBR191W_mRNA	483	433	16.5161	3382.28
YKL060C_mRNA	1080	1030	110	9469.88
YDL215C_mRNA	3279	3229	3	82.3838
YJL205C_mRNA	162	112	0	0
YGL133W_mRNA	3795	3745	1	23.6776
YOR355W_mRNA	1569	1519	0	0
YIL061C_mRNA	903	853	0	0
YGR078C_mRNA	600	550	1	161.223
YJR020W_mRNA	333	283	0	0
YAR068W_mRNA	486	436	0	0
YLR417W_mRNA	1701	1651	1	53.7083
YDL129W_mRNA	876	826	2	214.703
YPR064W_mRNA	420	370	0	0
YPL082C_mRNA	5604	5554	1	15.9655
YMR101C_mRNA	1032	982	0	0
YBR299W_mRNA	1755	1705	0	0
YDL088C_mRNA	1587	1537	1	57.6919
YKR034W_mRNA	810	760	0	0
YOR199W_mRNA	330	280	0	0
YOR005C_mRNA	2835	2785	0	0
YCR081W_mRNA	4284	4234	0	0
YHR143W-A_mRNA	213	163	0	0
YMR296C_mRNA	1677	1627	1	54.5006
YMR212C_mRNA	2349	2299	0	0
YDR039C_mRNA	3276	3226	2	54.9736
YFL027C_mRNA	1494	1444	1	61.4075
YJL075C_mRNA	417	367	1	241.614
YBR219C_mRNA	384	334	0	0
YBL032W_mRNA	1146	1096	1	80.9055
YFR039C_mRNA	1533	1483	0	0
YER184C_mRNA	2385	2335	0	0
YBR114W_mRNA	2373	2323	1	38.1715
YBR267W_mRNA	1182	1132	2	156.665
YIL009C-A_mRNA	546	496	0	0
YMR153C-A_mRNA	336	286	0	0
YPL035C_mRNA	348	298	0	0
YDR075W_mRNA	927	877	0	0
YER060W-A_mRNA	1593	1543	0.79966	45.9545
YNL135C_mRNA	345	295	5	1502.92
YPR107C_mRNA	627	577	0	0
YOL001W_mRNA	882	832	0	0
YNL032W_mRNA	846	796	0	0
YHR060W_mRNA	546	496	0	0
YOR187W_mRNA	1314	1264	0	0
YMR127C_mRNA	1017	967	1	91.6985
YDL223C_mRNA	3141	3091	3	86.0619
YDR156W_mRNA	414	364	0	0
YDR167W_mRNA	621	571	0	0
YLL065W_mRNA	351	301	0	0
YGR281W_mRNA	4434	4384	3	60.6792
YIL060W_mRNA	435	385	0	0
YJL015C_mRNA	285	235	0	0
YPL146C_mRNA	1368	1318	5	336.39
YGL148W_mRNA	1131	1081	3	246.085
YPR133W-A_mRNA	153	103	0	0
YAL044C_mRNA	513	463	0	0
YOR151C_mRNA	3675	3625	3	73.3841
YNL046W_mRNA	519	469	0	0
YJL003W_mRNA	357	307	0	0
YEL058W_mRNA	1674	1624	2	109.203
YNL325C_mRNA	2640	2590	1	34.2365
YLR369W_mRNA	1974	1924	0	0
YGL004C_mRNA	1254	1204	0	0
YJL196C_mRNA	933	883	0	0
YPR015C_mRNA	744	694	0	0
YMR013C_mRNA	1560	1510	0	0
YHL013C_mRNA	924	874	1	101.456
YER165W_mRNA	1734	1684	8	421.247
YIL089W_mRNA	618	568	0	0
YNL062C_mRNA	1437	1387	0	0
YML059C_mRNA	5040	4990	0	0
YML086C_mRNA	1581	1531	1	57.918
YPL036W_mRNA	2844	2794	0	0
YOR161C-C_mRNA	147	97	0	0
YBL061C_mRNA	2091	2041	0	0
YIL166C_mRNA	1629	1579	0	0
YHR216W_mRNA	1572	1522	0	0
YER182W_mRNA	735	685	0	0
YGR190C_mRNA	366	316	0	0
YKR005C_mRNA	1578	1528	0	0
YJR162C_mRNA	351	301	0	0
YMR186W_mRNA	2118	2068	23	986.203
YJL152W_mRNA	360	310	0	0
YMR169C_mRNA	1521	1471	0	0
