target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	856	120	12.428
YDL245C_mRNA	1704	1654	34.7689	1.86358
YBR232C_mRNA	360	310	62.9265	17.9955
YDR320W-B_mRNA	138	88	3	3.02225
YBR021W_mRNA	1902	1852	75	3.59015
YGR014W_mRNA	3921	3871	1002	22.9476
YKL119C_mRNA	648	598	467.45	69.2989
YPR031W_mRNA	2247	2197	285	11.5002
YKL066W_mRNA	444	394	60	13.5004
YJL076W_mRNA	3570	3520	1911.44	48.1405
YPL174C_mRNA	2607	2557	381	13.2095
YIL003W_mRNA	882	832	299	31.8596
YML066C_mRNA	1110	1060	30	2.50904
YMR129W_mRNA	4014	3964	933	20.8661
YBR140C_mRNA	9279	9229	1237	11.8825
YGR242W_mRNA	309	259	29.2634	10.0165
YKR047W_mRNA	306	256	49.5463	17.1579
YKL029C_mRNA	2010	1960	1982.61	89.6755
YLR154C-G_mRNA	150	100	13227	11726.1
YPL028W_mRNA	1197	1147	1740	134.486
YDL235C_mRNA	504	454	692	135.127
YER091C_mRNA	2304	2254	1652	64.9753
YMR121C_mRNA	615	565	556.632	87.3398
YDR356W_mRNA	2835	2785	1222.15	38.9036
YDR337W_mRNA	861	811	467	51.0491
YKL008C_mRNA	1257	1207	857	62.9457
YER055C_mRNA	894	844	3963	416.269
YFR004W_mRNA	921	871	1403	142.801
YDR108W_mRNA	2097	2047	180	7.79555
YDL200C_mRNA	567	517	96	16.4616
YJR134C_mRNA	2124	2074	1127	48.1734
YMR135C_mRNA	1368	1318	357.374	24.0381
YGR012W_mRNA	1182	1132	427	33.4406
YNL244C_mRNA	327	277	1127	360.692
YCR024C-A_mRNA	123	73	116.623	141.629
YOR027W_mRNA	1770	1720	2423	124.887
YBL101C_mRNA	3354	3304	321	8.61306
YLL040C_mRNA	9435	9385	1153	10.8915
YDR181C_mRNA	1446	1396	278	17.6543
YML116W-A_mRNA	303	253	96.5769	33.8412
YPR096C_mRNA	303	253	4	1.40162
YJL210W_mRNA	816	766	127.206	14.7221
YLR216C_mRNA	1116	1066	1788.1	148.705
YGL118C_mRNA	438	388	0	0
YMR021C_mRNA	1254	1204	164	12.0756
YNL079C_mRNA	600	550	6177	995.651
YBL058W_mRNA	1272	1222	1365	99.027
YJR127C_mRNA	4143	4093	699.632	15.1538
YLR088W_mRNA	1845	1795	556	27.4601
YKL128C_mRNA	888	838	740	78.2853
YLR100W_mRNA	1044	994	916.19	81.7131
YKL106C-A_mRNA	120	70	6	7.59881
YBR080C_mRNA	2277	2227	738	29.3784
YOR292C_mRNA	930	880	150	15.1113
YNL219C_mRNA	1668	1618	436	23.8891
YPR179C_mRNA	1968	1918	520	24.0352
YOL062C_mRNA	1476	1426	472	29.3437
YDR540C_mRNA	540	490	31	5.60864
YER087W_mRNA	1731	1681	194.998	10.2839
YOL140W_mRNA	1272	1222	279	20.2407
YFL009W_mRNA	2340	2290	484.555	18.7586
YLL004W_mRNA	1851	1801	249	12.2568
YKL057C_mRNA	3114	3064	580	16.7815
YPL130W_mRNA	672	622	4	0.570114
YDL046W_mRNA	522	472	366	68.7435
YPL072W_mRNA	1500	1450	106.631	6.5194
YPR150W_mRNA	522	472	9.20091	1.72815
YER180C_mRNA	804	754	140	16.4607
YGL157W_mRNA	1044	994	527	47.002
YDR252W_mRNA	450	400	57	12.633
YLR037C_mRNA	375	325	7.31818	1.99624
YMR307W_mRNA	1680	1630	6490	352.979
YIL116W_mRNA	1158	1108	595	47.6069
YAL040C_mRNA	1743	1693	751	39.3256
YGL232W_mRNA	870	820	2098	226.821
YHR181W_mRNA	687	637	250	34.7931
YBR051W_mRNA	351	301	14.7939	4.35721
YPL259C_mRNA	1428	1378	835	53.7192
YDR461C-A_mRNA	243	193	42	19.2923
YJL087C_mRNA	2484	2434	342	12.4566
YIR005W_mRNA	447	397	110	24.5637
YDL080C_mRNA	1830	1780	338	16.8341
YJL209W_mRNA	1965	1915	236	10.9254
YLR286C_mRNA	1689	1639	3967	214.573
YEL044W_mRNA	501	451	283	55.6291
YOR371C_mRNA	2694	2644	405	13.5796
YLR071C_mRNA	3249	3199	760	21.0616
YBL050W_mRNA	879	829	740	79.1352
YOR025W_mRNA	1344	1294	289	19.7996
YHL001W_mRNA	417	367	2619.77	632.834
YJR042W_mRNA	2235	2185	939	38.0984
YNL185C_mRNA	477	427	143.766	29.8484
YBR129C_mRNA	987	937	725	68.5947
YKL145W_mRNA	1404	1354	1773	116.087
YIL015W_mRNA	1764	1714	830	42.9299
YPL018W_mRNA	1110	1060	110	9.19982
YLR160C_mRNA	1089	1039	362	30.8877
YIL047C_mRNA	2709	2659	785.008	26.1727
YBL039C-A_mRNA	84	34.0145	0	0
YOR061W_mRNA	1020	970	1131	103.367
YJR005C-A_mRNA	282	232	16	6.11398
YLR352W_mRNA	2424	2374	157	5.86288
YDR068W_mRNA	933	883	1099	110.339
YJL128C_mRNA	2007	1957	588	26.6366
YPL228W_mRNA	1650	1600	448	24.8228
YML036W_mRNA	546	496	136	24.308
YKL114C_mRNA	1104	1054	842	70.8213
YDR078C_mRNA	672	622	92	13.1126
YCR105W_mRNA	1086	1036	16	1.36915
YJR083C_mRNA	930	880	209	21.055
YDR248C_mRNA	582	532	132	21.9966
YPL199C_mRNA	723	673	1551	204.31
YNL136W_mRNA	1278	1228	907	65.4789
YLL045C_mRNA	771	721	6012.05	739.23
YOR316C-A_mRNA	210	160	6	3.32448
YNL264C_mRNA	1053	1003	469	41.4538
YLR320W_mRNA	4365	4315	268	5.50613
YBR028C_mRNA	1578	1528	410	23.7877
YKL098W_mRNA	1074	1024	142	12.2936
YBR063C_mRNA	1215	1165	148.506	11.3008
YJL052C-A_mRNA	120	70	3	3.7994
