target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	856	0	0
YDL245C_mRNA	1704	1654	0	0
YBR232C_mRNA	360	310	0	0
YDR320W-B_mRNA	138	88	0	0
YBR021W_mRNA	1902	1852	0	0
YGR014W_mRNA	3921	3871	0	0
YKL119C_mRNA	648	598	0	0
YPR031W_mRNA	2247	2197	1	39.8061
YKL066W_mRNA	444	394	0	0
YJL076W_mRNA	3570	3520	4	99.3797
YPL174C_mRNA	2607	2557	0	0
YIL003W_mRNA	882	832	1	105.113
YML066C_mRNA	1110	1060	0	0
YMR129W_mRNA	4014	3964	0	0
YBR140C_mRNA	9279	9229	2	18.952
YGR242W_mRNA	309	259	0	0
YKR047W_mRNA	306	256	0	0
YKL029C_mRNA	2010	1960	5	223.097
YLR154C-G_mRNA	150	100	14	12243.6
YPL028W_mRNA	1197	1147	2	152.492
YDL235C_mRNA	504	454	0	0
YER091C_mRNA	2304	2254	6	232.797
YMR121C_mRNA	615	565	0	0
YDR356W_mRNA	2835	2785	1	31.4018
YDR337W_mRNA	861	811	0	0
YKL008C_mRNA	1257	1207	2	144.912
YER055C_mRNA	894	844	7	725.33
YFR004W_mRNA	921	871	2	200.813
YDR108W_mRNA	2097	2047	0	0
YDL200C_mRNA	567	517	0	0
YJR134C_mRNA	2124	2074	1	42.1669
YMR135C_mRNA	1368	1318	0	0
YGR012W_mRNA	1182	1132	0	0
YNL244C_mRNA	327	277	0	0
YCR024C-A_mRNA	123	73	0	0
YOR027W_mRNA	1770	1720	3	152.536
YBL101C_mRNA	3354	3304	0	0
YLL040C_mRNA	9435	9385	3	27.9555
YDR181C_mRNA	1446	1396	1	62.6462
YML116W-A_mRNA	303	253	1	345.668
YPR096C_mRNA	303	253	0	0
YJL210W_mRNA	816	766	0	0
YLR216C_mRNA	1116	1066	3	246.119
YGL118C_mRNA	438	388	0	0
YMR021C_mRNA	1254	1204	0	0
YNL079C_mRNA	600	550	8	1272.06
YBL058W_mRNA	1272	1222	0	0
YJR127C_mRNA	4143	4093	1	21.3668
YLR088W_mRNA	1845	1795	1	48.721
YKL128C_mRNA	888	838	1	104.361
YLR100W_mRNA	1044	994	1.18523	104.279
YKL106C-A_mRNA	120	70	0	0
YBR080C_mRNA	2277	2227	1	39.2699
YOR292C_mRNA	930	880	0	0
YNL219C_mRNA	1668	1618	0	0
YPR179C_mRNA	1968	1918	1	45.5965
YOL062C_mRNA	1476	1426	1	61.3283
YDR540C_mRNA	540	490	0	0
YER087W_mRNA	1731	1681	0	0
YOL140W_mRNA	1272	1222	0	0
YFL009W_mRNA	2340	2290	0	0
YLL004W_mRNA	1851	1801	0	0
YKL057C_mRNA	3114	3064	0	0
YPL130W_mRNA	672	622	0	0
YDL046W_mRNA	522	472	0	0
YPL072W_mRNA	1500	1450	0	0
YPR150W_mRNA	522	472	0	0
YER180C_mRNA	804	754	0	0
YGL157W_mRNA	1044	994	0	0
YDR252W_mRNA	450	400	0	0
YLR037C_mRNA	375	325	0	0
YMR307W_mRNA	1680	1630	11	590.181
YIL116W_mRNA	1158	1108	1	78.9297
YAL040C_mRNA	1743	1693	1	51.6563
YGL232W_mRNA	870	820	3	319.954
YHR181W_mRNA	687	637	0	0
YBR051W_mRNA	351	301	0	0
YPL259C_mRNA	1428	1378	1	63.4645
YDR461C-A_mRNA	243	193	0	0
YJL087C_mRNA	2484	2434	0	0
YIR005W_mRNA	447	397	0	0
YDL080C_mRNA	1830	1780	0	0
YJL209W_mRNA	1965	1915	1	45.6679
YLR286C_mRNA	1689	1639	4	213.433
YEL044W_mRNA	501	451	0	0
YOR371C_mRNA	2694	2644	1	33.0764
YLR071C_mRNA	3249	3199	2	54.6759
YBL050W_mRNA	879	829	0	0
YOR025W_mRNA	1344	1294	0	0
YHL001W_mRNA	417	367	3.25	774.457
YJR042W_mRNA	2235	2185	4	160.099
YNL185C_mRNA	477	427	0	0
YBR129C_mRNA	987	937	0	0
YKL145W_mRNA	1404	1354	4	258.358
YIL015W_mRNA	1764	1714	0	0
YPL018W_mRNA	1110	1060	0	0
YLR160C_mRNA	1089	1039	0.25	21.0429
YIL047C_mRNA	2709	2659	0	0
YBL039C-A_mRNA	84	34.0145	0	0
YOR061W_mRNA	1020	970	2	180.318
YJR005C-A_mRNA	282	232	0	0
YLR352W_mRNA	2424	2374	0	0
YDR068W_mRNA	933	883	1	99.042
YJL128C_mRNA	2007	1957	2	89.3757
YPL228W_mRNA	1650	1600	1	54.6588
YML036W_mRNA	546	496	0	0
YKL114C_mRNA	1104	1054	1	82.9735
YDR078C_mRNA	672	622	0	0
YCR105W_mRNA	1086	1036	0	0
YJR083C_mRNA	930	880	0	0
YDR248C_mRNA	582	532	0	0
YPL199C_mRNA	723	673	2	259.893
YNL136W_mRNA	1278	1228	0	0
YLL045C_mRNA	771	721	5.29626	642.414
YOR316C-A_mRNA	210	160	0	0
YNL264C_mRNA	1053	1003	0	0
YLR320W_mRNA	4365	4315	1	20.2675
YBR028C_mRNA	1578	1528	0	0
YKL098W_mRNA	1074	1024	0	0
YBR063C_mRNA	1215	1165	0	0
YJL052C-A_mRNA	120	70	0	0
YPR060C_mRNA	771	721	1	121.296
YLL013C_mRNA	2640	2590	0	0
YKR067W_mRNA	2232	2182	0	0
YLR040C_mRNA	675	625	0	0
YMR093W_mRNA	1542	1492	0	0
YIL058W_mRNA	285	235	0	0
YHR136C_mRNA	447	397	3	660.862
YBR078W_mRNA	1290	1240	9	634.748
YCL054W_mRNA	2526	2476	2	70.6414
YIL072W_mRNA	1818	1768	0	0
YOR231C-A_mRNA	201	151	0	0
YCR016W_mRNA	873	823	0	0
YEL020C_mRNA	1683	1633	0	0
YPL025C_mRNA	558	508	0	0
YDL136W_mRNA	363	313	10	2794.06
YBR211C_mRNA	975	925	1	94.545
YJL077W-A_mRNA	87	37.0051	0	0
YOR076C_mRNA	2244	2194	1	39.8606
YDR104C_mRNA	3738	3688	0	0
YBR279W_mRNA	1338	1288	0	0
YLR067C_mRNA	2898	2848	0	0
YHR219W_mRNA	1875	1825	0	0
YGR249W_mRNA	1371	1321	2	132.406
YLR456W_mRNA	615	565	0	0
YGR283C_mRNA	1026	976	3	268.814
YDL027C_mRNA	1263	1213	0	0
YKR023W_mRNA	1593	1543	1	56.678
YGR028W_mRNA	1089	1039	0	0
YCL001W-A_mRNA	462	412	0	0
YDR052C_mRNA	2115	2065	0	0
YFR035C_mRNA	345	295	0	0
YJL102W_mRNA	2460	2410	0	0
YNL336W_mRNA	1146	1096	0.0961385	7.67126
YGL006W_mRNA	3522	3472	0	0
YDR217C_mRNA	3930	3880	1	22.5397
YMR194C-A_mRNA	225	175	0	0
YKL033W_mRNA	3117	3067	1	28.5145
YOR223W_mRNA	879	829	0	0
YOR032W-A_mRNA	201	151	0	0
YBR260C_mRNA	2001	1951	0	0
YLR359W_mRNA	1449	1399	6	375.071
YHR062C_mRNA	882	832	0	0
YDR022C_mRNA	591	541	0	0
YDR459C_mRNA	1125	1075	0	0
YNL184C_mRNA	327	277	0	0
YDR293C_mRNA	3753	3703	2	47.2342
YPL195W_mRNA	2799	2749	0	0
YMR173W_mRNA	1293	1243	0	0
YDR374W-A_mRNA	270	220	0	0
YAL007C_mRNA	648	598	2	292.489
YGL235W_mRNA	537	487	0	0
YGL134W_mRNA	1302	1252	0	0
YER001W_mRNA	2289	2239	0	0
YDR366C_mRNA	399	349	9	2255.26
YHR023W_mRNA	5787	5737	3	45.7316
YDR430C_mRNA	2970	2920	0	0
YGR002C_mRNA	1431	1381	0	0
YNL220W_mRNA	1302	1252	3	209.555
YBR109W-A_mRNA	225	175	0	0
YHR110W_mRNA	639	589	2	296.958
YKL136W_mRNA	399	349	0	0
YLL067C_mRNA	3618	3568	6.26836	153.642
YPL078C_mRNA	735	685	0	0
YBR073W_mRNA	2877	2827	2	61.8706
YPL119C_mRNA	1854	1804	1	48.4779
YOR135C_mRNA	342	292	0.239583	71.7553
YPL212C_mRNA	1635	1585	0	0
YGL179C_mRNA	1683	1633	0	0
YNL159C_mRNA	870	820	0	0
YFR048W_mRNA	1989	1939	0	0
YDR016C_mRNA	285	235	0	0
YKL215C_mRNA	3861	3811	1	22.9478
YML035C_mRNA	2433	2383	3	110.097
YDL059C_mRNA	717	667	0	0
YOR257W_mRNA	486	436	0	0
YNL144C_mRNA	2223	2173	1	40.2458
YIL172C_mRNA	1770	1720	0	0
YOR301W_mRNA	1308	1258	1	69.5184
YHR157W_mRNA	549	499	0	0
YPR152C_mRNA	1398	1348	0	0
YDR442W_mRNA	393	343	0	0
YPL008W_mRNA	2586	2536	0	0
YMR086C-A_mRNA	339	289	1	302.609
YGL032C_mRNA	264	214	0	0
YEL077C_mRNA	3834	3784	5.23593	121.011
YGR174W-A_mRNA	87	37.0051	0	0
YOR148C_mRNA	558	508	0	0
YHL048W_mRNA	1146	1096	0	0
YDR114C_mRNA	303	253	0	0
YDR194W-A_mRNA	153	103	0	0
YML062C_mRNA	1179	1129	1	77.4616
YPR085C_mRNA	1332	1282	0	0
YBL095W_mRNA	813	763	0	0
YAR028W_mRNA	705	655	1	133.518
YGR054W_mRNA	1929	1879	1	46.5429
YOR096W_mRNA	573	523	17	2842.68
YMR022W_mRNA	498	448	0	0
YCR027C_mRNA	630	580	0	0
YDL183C_mRNA	963	913	0	0
YJL225W-A_mRNA	483	433	0.0614161	12.4044
YNL278W_mRNA	3183	3133	0	0
YLR395C_mRNA	237	187	0	0
YDR446W_mRNA	909	859	0	0
YKL023W_mRNA	834	784	0	0
YPL106C_mRNA	2082	2032	18	774.692
YOR366W_mRNA	354	304	0	0
YIR021W_mRNA	1092	1042	0	0
YJL175W_mRNA	513	463	0	0
YLL022C_mRNA	1158	1108	3	236.789
YDR441C_mRNA	546	496	0	0
YPR002C-A_mRNA	198	148	1	590.906
YOR299W_mRNA	2241	2191	0	0
YLR047C_mRNA	2061	2011	0	0
YMR082C_mRNA	357	307	0	0
YEL023C_mRNA	2049	1999	0	0
YDR411C_mRNA	1026	976	1	89.6046
YKL025C_mRNA	2040	1990	0	0
YLR225C_mRNA	1224	1174	0	0
YPR029C_mRNA	2499	2449	0	0
YDR088C_mRNA	1149	1099	0	0
YFL004W_mRNA	2487	2437	3	107.658
YDR369C_mRNA	2565	2515	0	0
YGL090W_mRNA	1266	1216	0	0
YLR297W_mRNA	390	340	0	0
YDR094W_mRNA	336	286	0	0
YNL027W_mRNA	2037	1987	0	0
YAL064C-A_mRNA	381	331	0	0
YJL083W_mRNA	1815	1765	0	0
YKL171W_mRNA	2787	2737	0	0
YOR353C_mRNA	2376	2326	0	0
YJR132W_mRNA	3147	3097	1	28.2383
YLR255C_mRNA	354	304	0	0
YMR013W-A_mRNA	81	31.038	0	0
YNL144W-A_mRNA	84	34.0145	0	0
YPL060W_mRNA	1242	1192	0	0
YNL333W_mRNA	897	847	0	0
YCL038C_mRNA	1587	1537	0	0
YBL035C_mRNA	2118	2068	0	0
YJL092W_mRNA	3525	3475	1	25.1667
YGL010W_mRNA	525	475	0	0
YML076C_mRNA	2835	2785	0	0
YDR379W_mRNA	3030	2980	0	0
YDL029W_mRNA	1176	1126	0	0
YDR205W_mRNA	2175	2125	0	0
YJL031C_mRNA	984	934	0	0
YLR016C_mRNA	615	565	1	154.786
YOL116W_mRNA	1149	1099	0	0
YGR019W_mRNA	1416	1366	1	64.022
YKL096C-B_mRNA	150	100	0	0
YMR137C_mRNA	1986	1936	1	45.1726
YLR034C_mRNA	1422	1372	0	0
YOL041C_mRNA	1380	1330	4	263.02
YDL198C_mRNA	903	853	0	0
YPR076W_mRNA	375	325	0	0
YHR118C_mRNA	1308	1258	0	0
YJL097W_mRNA	654	604	1	144.792
YDL120W_mRNA	525	475	0	0
YLR292C_mRNA	582	532	1	164.387
YPR170W-B_mRNA	258	208	0	0
YKR091W_mRNA	741	691	0	0
YPR016C_mRNA	738	688	0	0
YNL103W_mRNA	2019	1969	0	0
YAL012W_mRNA	1185	1135	8	616.417
YJL148W_mRNA	702	652	2	268.264
YER039C-A_mRNA	219	169	0	0
YKL162C-A_mRNA	153	103	0	0
YDR421W_mRNA	2853	2803	0	0
YGL051W_mRNA	705	655	0	0
YER058W_mRNA	324	274	0	0
YNL243W_mRNA	2907	2857	2	61.2209
YGL220W_mRNA	363	313	0	0
YDL186W_mRNA	834	784	1	111.549
YER110C_mRNA	3342	3292	8	212.525
YLL027W_mRNA	753	703	0	0
YER135C_mRNA	393	343	0	0
YOL060C_mRNA	2121	2071	0	0
YCL051W_mRNA	1752	1702	1	51.3831
YBL049W_mRNA	417	367	0	0
YOL102C_mRNA	693	643	0	0
YGR065C_mRNA	1782	1732	0	0
YMR292W_mRNA	417	367	0	0
YBL021C_mRNA	435	385	0	0
YPR026W_mRNA	3636	3586	0	0
YLR421C_mRNA	471	421	3	623.188
YHR054W-A_mRNA	195	145	1.26365e-08	7.62148e-06
YPR154W_mRNA	648	598	0	0
YAL058W_mRNA	1509	1459	0	0
YDR119W-A_mRNA	201	151	0	0
YJR055W_mRNA	495	445	1	196.526
YMR273C_mRNA	2748	2698	0	0
YHL008C_mRNA	1884	1834	1	47.6849
YNL212W_mRNA	2349	2299	0	0
YDR429C_mRNA	825	775	2	225.688
YCL027W_mRNA	1539	1489	0	0
YCR030C_mRNA	2613	2563	0	0
YGR048W_mRNA	1086	1036	0	0
YPL249C_mRNA	2685	2635	0	0
YLR165C_mRNA	765	715	0	0
YDR220C_mRNA	294	244	0	0
YDR263C_mRNA	1293	1243	0	0
YBR187W_mRNA	843	793	4	441.13
YOR244W_mRNA	1338	1288	0	0
YBR201C-A_mRNA	204	154	0	0
YBR074W_mRNA	2931	2881	0	0
YDL195W_mRNA	3822	3772	5	115.925
YDR007W_mRNA	675	625	0	0
YOL014W_mRNA	375	325	0	0
YLR059C_mRNA	810	760	1	115.071
YML130C_mRNA	1692	1642	1	53.2607
YBR223C_mRNA	1635	1585	0	0
YCR018C-A_mRNA	255	205	0	0
YER019W_mRNA	1434	1384	1	63.1894
YIR016W_mRNA	798	748	2	233.835
YIL069C_mRNA	408	358	4	977.141
YLR440C_mRNA	2130	2080	1	42.0452
YIL102C_mRNA	306	256	0	0
YER042W_mRNA	555	505	0	0
YBL069W_mRNA	1290	1240	0	0
YML116W_mRNA	1629	1579	0	0
YHR058C_mRNA	888	838	0	0
YMR265C_mRNA	1386	1336	2	130.919
YDL169C_mRNA	672	622	0	0
YPL109C_mRNA	1974	1924	0	0
YPL204W_mRNA	1485	1435	3	182.831
YLR365W_mRNA	333	283	0	0
YOR047C_mRNA	1335	1285	1	68.0577
YLR222C_mRNA	2454	2404	3	109.136
YPR183W_mRNA	804	754	2	231.974
YOR396C-A_mRNA	483	433	0.0614161	12.4044
YER077C_mRNA	2067	2017	0	0
YDR348C_mRNA	1500	1450	0	0
YKL030W_mRNA	606	556	1	157.292
YGR295C_mRNA	1146	1096	0	0
YER039C_mRNA	750	700	0	0
YPL230W_mRNA	1176	1126	0	0
YFL007W_mRNA	6432	6382	1	13.7032
YLR371W_mRNA	4071	4021	0	0
YMR061W_mRNA	2034	1984	2	88.1594
YPL159C_mRNA	762	712	0	0
YMR288W_mRNA	2916	2866	0	0
YMR166C_mRNA	1107	1057	0	0
YHR142W_mRNA	951	901	0	0
YJR111C_mRNA	852	802	1	109.045
YPL152W_mRNA	1077	1027	0	0
YJR113C_mRNA	744	694	0	0
YDR230W_mRNA	348	298	0	0
YDR131C_mRNA	1671	1621	0	0
YEL020W-A_mRNA	264	214	0	0
YLR116W_mRNA	1431	1381	0	0
YIR040C_mRNA	333	283	0	0
YLR013W_mRNA	426	376	0	0
YBR125C_mRNA	1182	1132	1	77.2563
YPL216W_mRNA	3309	3259	0	0
YOR290C_mRNA	5112	5062	1	17.2766
YEL012W_mRNA	657	607	0	0
YLR179C_mRNA	606	556	1	157.292
YDR297W_mRNA	1050	1000	0	0
YBR191W_mRNA	483	433	10	2019.73
YKL060C_mRNA	1080	1030	115	9764.29
YDL215C_mRNA	3279	3229	1	27.084
YJL205C_mRNA	162	112	0	0
YGL133W_mRNA	3795	3745	2	46.7045
YOR355W_mRNA	1569	1519	0	0
YIL061C_mRNA	903	853	2	205.051
YGR078C_mRNA	600	550	0	0
YJR020W_mRNA	333	283	0	0
YAR068W_mRNA	486	436	0	0
YLR417W_mRNA	1701	1651	0	0
YDL129W_mRNA	876	826	0	0
YPR064W_mRNA	420	370	0	0
YPL082C_mRNA	5604	5554	2	31.4923
YMR101C_mRNA	1032	982	0	0
YBR299W_mRNA	1755	1705	0	0
YDL088C_mRNA	1587	1537	0	0
YKR034W_mRNA	810	760	0	0
YOR199W_mRNA	330	280	0	0
YOR005C_mRNA	2835	2785	0	0
YCR081W_mRNA	4284	4234	0	0
YHR143W-A_mRNA	213	163	1	536.528
YMR296C_mRNA	1677	1627	3	161.255
YMR212C_mRNA	2349	2299	0	0
YDR039C_mRNA	3276	3226	1.5	40.6637
YFL027C_mRNA	1494	1444	2	121.128
YJL075C_mRNA	417	367	0	0
YBR219C_mRNA	384	334	0	0
YBL032W_mRNA	1146	1096	2	159.588
YFR039C_mRNA	1533	1483	0	0
YER184C_mRNA	2385	2335	0	0
YBR114W_mRNA	2373	2323	1	37.6471
YBR267W_mRNA	1182	1132	0	0
YIL009C-A_mRNA	546	496	0	0
YMR153C-A_mRNA	336	286	0	0
YPL035C_mRNA	348	298	0	0
YDR075W_mRNA	927	877	0	0
YER060W-A_mRNA	1593	1543	0	0
YNL135C_mRNA	345	295	2	592.909
YPR107C_mRNA	627	577	0	0
YOL001W_mRNA	882	832	1	105.113
YNL032W_mRNA	846	796	0	0
YHR060W_mRNA	546	496	1	176.319
YOR187W_mRNA	1314	1264	2	138.377
YMR127C_mRNA	1017	967	0	0
YDL223C_mRNA	3141	3091	0	0
YDR156W_mRNA	414	364	1	240.259
YDR167W_mRNA	621	571	0	0
YLL065W_mRNA	351	301	0	0
YGR281W_mRNA	4434	4384	3	59.8454
YIL060W_mRNA	435	385	0	0
YJL015C_mRNA	285	235	0	0
YPL146C_mRNA	1368	1318	4	265.415
YGL148W_mRNA	1131	1081	4	323.604
YPR133W-A_mRNA	153	103	1	849.069
YAL044C_mRNA	513	463	1	188.886
YOR151C_mRNA	3675	3625	3	72.3758
YNL046W_mRNA	519	469	2	372.939
YJL003W_mRNA	357	307	0	0
YEL058W_mRNA	1674	1624	0	0
YNL325C_mRNA	2640	2590	0	0
YLR369W_mRNA	1974	1924	0	0
YGL004C_mRNA	1254	1204	0	0
YJL196C_mRNA	933	883	3	297.126
YPR015C_mRNA	744	694	0	0
YMR013C_mRNA	1560	1510	0	0
YHL013C_mRNA	924	874	1	100.062
YER165W_mRNA	1734	1684	8	415.459
YIL089W_mRNA	618	568	0	0
YNL062C_mRNA	1437	1387	0	0
YML059C_mRNA	5040	4990	1	17.5259
YML086C_mRNA	1581	1531	1	57.1222
YPL036W_mRNA	2844	2794	0	0
YOR161C-C_mRNA	147	97	0	0
YBL061C_mRNA	2091	2041	0	0
YIL166C_mRNA	1629	1579	0	0
YHR216W_mRNA	1572	1522	1	57.46
YER182W_mRNA	735	685	0	0
YGR190C_mRNA	366	316	0	0
YKR005C_mRNA	1578	1528	0	0
YJR162C_mRNA	351	301	0	0
YMR186W_mRNA	2118	2068	30.8117	1303
YJL152W_mRNA	360	310	0	0
YMR169C_mRNA	1521	1471	0	0
YDR274C_mRNA	372	322	0	0
