target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	856	218	12.0764
YDL245C_mRNA	1704	1654	111.832	3.20617
YBR232C_mRNA	360	310	136.931	20.9458
YDR320W-B_mRNA	138	88	5	2.69428
YBR021W_mRNA	1902	1852	236	6.04264
YGR014W_mRNA	3921	3871	2096	25.6758
YKL119C_mRNA	648	598	903.587	71.6514
YPR031W_mRNA	2247	2197	658	14.2021
YKL066W_mRNA	444	394	181	21.784
YJL076W_mRNA	3570	3520	4369.82	58.8677
YPL174C_mRNA	2607	2557	651	12.0727
YIL003W_mRNA	882	832	571	32.5438
YML066C_mRNA	1110	1060	97	4.33932
YMR129W_mRNA	4014	3964	2435	29.1287
YBR140C_mRNA	9279	9229	3454	17.7469
YGR242W_mRNA	309	259	83.7401	15.3317
YKR047W_mRNA	306	256	140.352	25.9977
YKL029C_mRNA	2010	1960	5385.46	130.293
YLR154C-G_mRNA	150	100	14786	7011.43
YPL028W_mRNA	1197	1147	5402	223.33
YDL235C_mRNA	504	454	1219	127.322
YER091C_mRNA	2304	2254	7957	167.398
YMR121C_mRNA	615	565	27.1147	2.27569
YDR356W_mRNA	2835	2785	2768.22	47.1336
YDR337W_mRNA	861	811	871	50.9276
YKL008C_mRNA	1257	1207	1715	67.3772
YER055C_mRNA	894	844	8773	492.903
YFR004W_mRNA	921	871	2842	154.725
YDR108W_mRNA	2097	2047	504	11.6753
YDL200C_mRNA	567	517	261	23.939
YJR134C_mRNA	2124	2074	2510	57.388
YMR135C_mRNA	1368	1318	843.92	30.3628
YGR012W_mRNA	1182	1132	872	36.528
YNL244C_mRNA	327	277	1347	230.592
YCR024C-A_mRNA	123	73	492.604	319.986
YOR027W_mRNA	1770	1720	9317	256.864
YBL101C_mRNA	3354	3304	944	13.5484
YLL040C_mRNA	9435	9385	4564	23.0604
YDR181C_mRNA	1446	1396	560	19.0221
YML116W-A_mRNA	303	253	230.389	43.1815
YPR096C_mRNA	303	253	25	4.68571
YJL210W_mRNA	816	766	395.959	24.5119
YLR216C_mRNA	1116	1066	5653.76	251.499
YGL118C_mRNA	438	388	1	0.122215
YMR021C_mRNA	1254	1204	386	15.2026
YNL079C_mRNA	600	550	10083	869.327
YBL058W_mRNA	1272	1222	3128	121.381
YJR127C_mRNA	4143	4093	1775.27	20.5674
YLR088W_mRNA	1845	1795	1386	36.6146
YKL128C_mRNA	888	838	1708	96.6495
YLR100W_mRNA	1044	994	1968.07	93.8882
YKL106C-A_mRNA	120	70	0	0
YBR080C_mRNA	2277	2227	1990	42.373
YOR292C_mRNA	930	880	275	14.8186
YNL219C_mRNA	1668	1618	1127	33.0294
YPR179C_mRNA	1968	1918	994	24.575
YOL062C_mRNA	1476	1426	1119	37.2106
YDR540C_mRNA	540	490	87	8.41936
YER087W_mRNA	1731	1681	498.432	14.0603
